nombre,avance,monto,direccion,comuna,barrio,fecha_inicio,fecha_fin,tipo,descripcion
"Escuela de Educación Primaria N.° 24 D.E. 15 ""Francisco Morazán"" - Siglo XXI",100.0,0.0,"RIVERA, PEDRO I., DR. 4221",12,Villa Urquiza,2013-01-12,2016-05-31,Escuelas,Primaria
Calle Holmberg: Nivelación en cruce,100.0,0.0,HOLMBERG Y OLAZABAL AV.,12,Villa Urquiza,2015-03-16,2016-07-15,Espacio Público,"En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad fí­sica y espacial a lo largo de toda su traza, mediante la nivelación de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomás le Bretón, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal."
Área Ambiental Central: Calles Alsina Y Moreno,100.0,0.0,"ALSINA, ADOLFO E IRIGOYEN, BERNARDO DE",1,Montserrat,2016-12-01,2017-11-15,Espacio Público,"Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelación, colocación de dársenas de carga y descarga, nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle."
Área Ambiental Central: Calle Esmeralda I,100.0,0.0,ESMERALDA Y CORRIENTES AV.,1,San Nicolás,2014-10-27,2017-02-28,Espacio Público,"La obra incluyó el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano, restringiendo el paso de colectivos. Además, se intalarón nuevas luminarias y se plantarón árboles."
Villa Olí­mpica: Viviendas II,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-02-15,2017-08-30,Vivienda,La segunda licitación comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.
Villa Olí­mpica: Viviendas III,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-02-25,2017-10-15,Vivienda,El tercer conjunto licitado comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.
Villa Olí­mpica: Viviendas IV,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-02-15,2017-08-30,Vivienda,La cuarta licitación comprendió la construcción de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.
Villa Olí­mpica: Viviendas IX,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-03-28,2018-02-15,Vivienda,La licitación Nº 9 contempló la construcción de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.
Villa Olí­mpica: Viviendas V,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-03-15,2017-09-30,Vivienda,La licitación Nº 5 contempló la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.
Villa Olí­mpica: Viviendas VI,100.0,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",8,Villa Lugano,2016-02-15,2017-08-30,Vivienda,La licitación Nº 6 contempló la construcción de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.
